ID,Nome,Idade,Gênero,RendaMensal,ScoreCredito,ComprasAnuais,DataCadastro
1,Cliente_1,56,Masculino,3770.11,815,13,2018-01-01
2,Cliente_2,69,Masculino,2832.25,846,10,2018-01-31
3,Cliente_3,46,Masculino,2380.77,491,14,2018-03-02
4,Cliente_4,32,Masculino,2712.18,348,10,2018-04-01
5,Cliente_5,60,Masculino,3579.27,811,12,2018-05-01
6,Cliente_6,25,Feminino,2795.39,316,16,2018-05-31
7,Cliente_7,38,Masculino,3679.94,471,14,2018-06-30
8,Cliente_8,56,Feminino,1950.94,519,13,2018-07-30
9,Cliente_9,36,Feminino,2303.76,457,11,2018-08-29
10,Cliente_10,40,Feminino,2594.69,776,11,2018-09-28
11,Cliente_11,28,Masculino,1952.04,345,11,2018-10-28
12,Cliente_12,28,Masculino,5354.93,672,8,2018-11-27
13,Cliente_13,41,Masculino,2122.99,817,9,2018-12-27
14,Cliente_14,53,Masculino,3731.91,398,11,2019-01-26
15,Cliente_15,57,Feminino,2467.15,336,11,2019-02-25
16,Cliente_16,41,Masculino,2588.97,579,12,2019-03-27
17,Cliente_17,20,Masculino,3241.06,648,7,2019-04-26
18,Cliente_18,39,Masculino,1833.19,796,12,2019-05-26
19,Cliente_19,19,Masculino,2469.81,601,16,2019-06-25
20,Cliente_20,41,Masculino,2882.82,480,10,2019-07-25
21,Cliente_21,61,Feminino,2323.19,398,11,2019-08-24
22,Cliente_22,47,Masculino,2342.01,415,12,2019-09-23
23,Cliente_23,55,Feminino,3869.38,490,7,2019-10-23
24,Cliente_24,19,Masculino,3803.99,552,14,2019-11-22
25,Cliente_25,38,Feminino,2646.59,460,7,2019-12-22
26,Cliente_26,50,Masculino,2932.67,555,12,2020-01-21
27,Cliente_27,29,Masculino,3989.61,622,9,2020-02-20
28,Cliente_28,39,Feminino,1858.82,427,10,2020-03-21
29,Cliente_29,61,Feminino,3270.42,317,8,2020-04-20
30,Cliente_30,42,Feminino,4579.66,622,14,2020-05-20
31,Cliente_31,66,Masculino,4572.03,587,17,2020-06-19
32,Cliente_32,44,Feminino,1448.07,454,10,2020-07-19
33,Cliente_33,59,Masculino,2389.9,789,5,2020-08-18
34,Cliente_34,45,Masculino,3134.93,685,11,2020-09-17
35,Cliente_35,33,Feminino,1942.5,403,13,2020-10-17
36,Cliente_36,32,Feminino,2465.4,692,12,2020-11-16
37,Cliente_37,64,Masculino,2890.17,545,9,2020-12-16
38,Cliente_38,68,Masculino,4121.06,475,9,2021-01-15
39,Cliente_39,61,Feminino,2963.68,338,6,2021-02-14
40,Cliente_40,69,Feminino,3173.55,776,7,2021-03-16
41,Cliente_41,20,Feminino,3409.94,837,11,2021-04-15
